conflict,land,agrtit,anymitiguse,fenc,ntwh,gdan,lgtn,scrd,cley,dp,dw,elev,fc1km,fc3km,lvstkown,grzlvstkhouse,grzcattlehouse,grzgoathouse,grzlvstkforest,hht,pctmen,gender,age,ncrop,rice,soya,cotton,channa,wheat,crmgen,crfenc,crntwh,crgdan,crlgtn,crscrd,crbush,lpmgen,lpfenc,lpntwh,lpgdan,lplgtn,lpscrd,lpcley,yrsofarming,crincmloss,lpincmloss,lessrain,morerain,partcommact,localofffence,localofflight,localofftrench,conflhhtask,conflfuel,conflcrops,confldomes,conflwater,jvcarn,jvherb,fbcarn,fbherb,mrcarn,mrherb,apcarn,apherb,mycarn,myherb,jncarn,jnherb,jlcarn,jlherb,agcarn,agherb,spcarn,spherb,occarn,ocherb,nvcarn,nvherb,dccarn,dcherb,migrtnstatus,chldatndschl,obtainwood,obtaingraze,obtainntfp,intrctfd,faceconflfd,fdfuel,fdgraze,valutgr,valulprd,valupig,valuchtl,valunlgi,valusmbr,crpig,crchtl,crnlgi,crsmbr,lplprd,lptgr,rptgovcr,rptgovlp,rptgovpig,rptgovchtl,rptgovnlgi,rptgovsmbr,rptgovlprd,rptgovtgr,Ilm,less8m,totwelvem,abvtwelvem,Ilf,less8f,totwelvef,abvtwelvef,highschledu,crhh,lphh,cattleown,bufflown,goatown,comprec,Il,less8,totwelve,abvtwelve,imppa,chngpa,obtainres,freqres,conflyear,fdaccess
1,5,1,1,1,1,0,1,1,0,8.801236,0.069654,0.261402747,9.338779652,38.0582635,4,4,1,2,1,5,60,1,57,4,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,50,25000,NA,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,0,0,0,1,0,1,1,NA,NA,NA,NA,0,1,1,0,1,0,1,0,2,1,0,1,NA,2,1,1,1,2,0,0,1,1,1,50,3
1,3,1,1,1,0,0,0,0,1,10.069074,0.225227,0.261402747,32.85810566,50.80609291,12,12,6,6,1,4,50,1,65,4,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,10000,5000,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,NA,NA,1,1,1,NA,1,1,1,0,0,1,1,1,1,1,1,NA,NA,1,0,0,3,0,1,0,2,0,5,1,1,6,0,6,0,1,0,5,0,1,1,3,1,15,0
1,1.5,1,1,1,0,1,0,0,0,8.345412,0.141799,0.260860496,73.0462118,57.22513105,8,8,3,NA,1,5,40,1,50,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,10,NA,NA,0,1,0,4,4,4,1,1,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,NA,NA,0,0,2,0,0,1,0,0,2,1,0,3,NA,NA,0,0,1,2,0,1,1,4,1,10,0
0,0,NA,0,0,0,0,0,0,0,8.349193,0.16109,0.260860496,72.65853187,57.14650612,0,0,0,0,NA,10,40,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,1,1,4,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,1,0,2,NA,NA,0,0,0,NA,0,2,2,0,1,1,4,1,NA,0
0,0,NA,0,0,0,0,0,0,0,8.369147,0.103762,0.260860496,74.59962576,57.48253538,0,0,0,0,NA,2,50,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,1,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,NA,NA,0,0,0,NA,1,0,1,0,1,0,1,0,NA,0
1,5,1,1,0,1,0,1,0,0,8.35695,0.113069,0.260860496,74.11732791,57.41120491,0,0,0,0,NA,6,50,1,65,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,50,10000,NA,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,10,2
1,6,1,1,0,1,0,1,0,0,8.341474,0.121467,0.260860496,73.64133011,57.34764064,0,0,0,0,NA,5,20,1,35,3,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,30,NA,NA,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,1,1,1,NA,NA,NA,0,1,0,1,0,1,1,0,2,1,0,0,0,0,1,0,2,1,1,1,1,0,0,10,0
1,5,1,1,1,1,1,0,0,0,8.30953,0.155503,0.260860496,72.02727041,57.1138559,2,2,2,0,0,4,50,0,60,2,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,40,12000,NA,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,2,2,2,1,1,2,0,6,1,0,2,0,0,0,1,3,4,2,0,1,0,0,40,0
1,5,1,1,0,1,0,0,0,0,8.280102,0.180876,0.243450228,70.80768031,56.96428624,2,2,2,0,0,9,77.77777778,0,16,4,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,NA,NA,0,1,0,1,1,1,1,1,1,0,0,NA,NA,NA,NA,1,0,1,0,1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,NA,1,0,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,0,0,1,2,0,2,1,0,2,0,0,0,1,2,2,0,1,1,2,0,10,1
1,9,1,1,0,1,0,0,0,0,8.868742,0.386962,0.243450228,1.29257824,41.01369073,4,4,NA,1,0,4,25,1,47,4,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,5000,NA,1,1,0,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,NA,NA,1,NA,NA,0,0,2,0,0,2,1,0,3,1,0,0,2,1,0,0,2,3,0,1,1,0,0,50,3
